"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2"
"Netherlands","1807.000","","490.298","","381.943","","128.369",""
"Netherlands","1808.000","","436.245","","339.304","","128.570",""
"Netherlands","1809.000","","407.882","","334.834","","121.816",""
"Netherlands","1810.000","","","","","","",""
"Netherlands","1811.000","","","","","","",""
"Netherlands","1812.000","","","","","","",""
"Netherlands","1813.000","","","","","","",""
"Netherlands","1814.000","","","","","","",""
"Netherlands","1815.000","","470.954","","399.378","","117.922",""
"Netherlands","1816.000","","508.276","","385.776","","131.754",""
"Netherlands","1817.000","","551.071","","392.581","","140.371",""
"Netherlands","1818.000","","524.657","","403.193","","130.126",""
"Netherlands","1819.000","","454.612","","389.406","","116.745",""
"Netherlands","1820.000","","445.706","","421.952","","105.629",""
"Netherlands","1821.000","","410.098","","419.997","","97.643",""
"Netherlands","1822.000","","405.944","","429.851","","94.438",""
"Netherlands","1823.000","","444.545","","457.699","","97.126",""
"Netherlands","1824.000","","412.639","","462.471","","89.225",""
"Netherlands","1825.000","","441.635","","457.637","","96.503",""
"Netherlands","1826.000","","436.130","","468.444","","93.102",""
"Netherlands","1827.000","","475.326","","499.281","","95.202",""
"Netherlands","1828.000","","467.649","","516.003","","90.629",""
"Netherlands","1829.000","","479.097","","521.084","","91.942",""
"Netherlands","1830.000","","458.846","","480.648","","95.464",""
"Netherlands","1831.000","","514.153","","519.200","","99.028",""
"Netherlands","1832.000","","535.325","","545.636","","98.110",""
"Netherlands","1833.000","","470.724","","538.299","","87.447",""
"Netherlands","1834.000","","470.459","","547.844","","85.875",""
"Netherlands","1835.000","","485.197","","551.879","","87.917",""
"Netherlands","1836.000","","545.589","","576.673","","94.610",""
"Netherlands","1837.000","","529.254","","595.832","","88.826",""
"Netherlands","1838.000","","568.607","","608.926","","93.379",""
"Netherlands","1839.000","","609.958","","615.580","","99.087",""
"Netherlands","1840.000","","601.084","","628.836","","95.587",""
"Netherlands","1841.000","","602.875","","643.016","","93.757",""
"Netherlands","1842.000","","582.984","","632.827","","92.124",""
"Netherlands","1843.000","","550.987","","628.705","","87.638",""
"Netherlands","1844.000","","529.818","","641.381","","82.606",""
"Netherlands","1845.000","","574.419","","644.025","","89.192",""
"Netherlands","1846.000","","615.100","","647.170","","95.045",""
"Netherlands","1847.000","","680.251","","650.087","","104.640",""
"Netherlands","1848.000","","561.857","","661.595","","84.925",""
"Netherlands","1849.000","","558.576","","683.434","","81.731",""
"Netherlands","1850.000","","561.003","","704.053","","79.682",""
"Netherlands","1851.000","","575.025","","722.182","","79.623",""
"Netherlands","1852.000","","605.872","","721.240","","84.004",""
"Netherlands","1853.000","","617.182","","710.211","","86.901",""
"Netherlands","1854.000","","706.913","","759.269","","93.105",""
"Netherlands","1855.000","","702.095","","740.612","","94.799",""
"Netherlands","1856.000","","764.377","","776.533","","98.435",""
