"Country","Year","Debt1","Debt2","GDP1","GDP2","RGDP1","RGDP2","Infl"
"Denmark","1880.00000","203.47100","","840.00000","","4539.63000","","7.95483"
"Denmark","1881.00000","202.17600","","839.00000","","4586.31000","","2.10497"
"Denmark","1882.00000","200.85500","","850.00000","","4749.69000","","-1.02954"
"Denmark","1883.00000","199.59100","","868.00000","","4913.07000","","-5.20881"
"Denmark","1884.00000","197.70900","","839.00000","","4936.41000","","-2.19748"
"Denmark","1885.00000","194.90700","","820.00000","","4971.42000","","-3.37164"
"Denmark","1886.00000","195.72900","","819.00000","","5169.81000","","-4.65051"
"Denmark","1887.00000","193.63100","","827.00000","","5356.53000","","0.00000"
"Denmark","1888.00000","190.80400","","841.00000","","5391.54000","","-2.43866"
"Denmark","1889.00000","188.62100","","892.00000","","5461.56000","","3.74792"
"Denmark","1890.00000","187.08300","","965.00000","","5788.32000","","1.20612"
"Denmark","1891.00000","185.59600","","1008.00000","","5905.02000","","9.52244"
"Denmark","1892.00000","183.94300","","1005.00000","","6045.06000","","-5.43275"
"Denmark","1893.00000","182.58800","","1000.00000","","6161.76000","","-5.74764"
"Denmark","1894.00000","208.90000","","990.00000","","6290.13000","","-2.43866"
"Denmark","1895.00000","199.53400","","1039.00000","","6640.23000","","-2.49962"
"Denmark","1896.00000","196.87700","","1059.00000","","6885.30000","","-2.56681"
"Denmark","1897.00000","208.68500","","1097.00000","","7048.68000","","0.00000"
"Denmark","1898.00000","206.09200","","1157.00000","","7165.38000","","5.26568"
"Denmark","1899.00000","207.89100","","1217.00000","","7468.80000","","2.49962"
"Denmark","1900.00000","217.76600","","1322.00000","","7725.54000","","2.43866"
"Denmark","1901.00000","246.86600","","1372.00000","","8052.30000","","3.56658"
"Denmark","1902.00000","245.19800","","1396.00000","","8239.02000","","0.00000"
"Denmark","1903.00000","243.49100","","1462.00000","","8729.16000","","-3.44376"
"Denmark","1904.00000","241.79800","","1479.00000","","8915.88000","","0.00000"
"Denmark","1905.00000","240.05400","","1558.00000","","9067.59000","","2.37772"
"Denmark","1906.00000","252.49900","","1627.00000","","9324.33000","","1.16125"
"Denmark","1907.00000","256.31600","","1739.00000","","9674.43000","","5.74796"
"Denmark","1908.00000","254.32300","","1773.00000","","9977.85000","","2.17895"
"Denmark","1909.00000","302.13300","","1828.00000","","10362.96000","","-3.19486"
"Denmark","1910.00000","336.23800","","1922.00000","","10678.05000","","1.09744"
"Denmark","1911.00000","352.35300","","2051.00000","","11249.88000","","-1.08552"
"Denmark","1912.00000","356.63900","","2159.00000","","11249.88000","","5.49518"
"Denmark","1913.00000","358.06000","","2301.00000","","11670.00000","","4.16867"
"Denmark","1914.00000","360.90000","","","","12405.21000","","2.99835"
"Denmark","1915.00000","392.60000","","","","11541.63000","","16.00264"
"Denmark","1916.00000","461.00000","","","","12031.77000","","25.85966"
"Denmark","1917.00000","589.10000","","","","11319.90000","","6.16538"
"Denmark","1918.00000","603.30000","","","","10946.46000","","17.41896"
"Denmark","1919.00000","780.50000","","","","12358.53000","","15.93395"
"Denmark","1920.00000","926.20000","","","","12942.03000","","24.20562"
"Denmark","1921.00000","1017.90000","","","","12568.59000","","-9.78772"
"Denmark","1922.00000","1125.10000","","","","13840.62000","","-6.60436"
"Denmark","1923.00000","1124.50000","","","","15299.37000","","5.55692"
"Denmark","1924.00000","1133.80000","","","","15346.05000","","5.74094"
"Denmark","1925.00000","1129.20000","","","","14995.95000","","-12.21725"
"Denmark","1926.00000","1145.80000","","","","15871.20000","","-6.70155"
"Denmark","1927.00000","1143.40000","","","","16186.29000","","-2.76194"
"Denmark","1928.00000","1167.00000","","","","16734.78000","","-2.27327"
"Denmark","1929.00000","1380.90000","","","","17855.10000","","0.00000"
"Denmark","1930.00000","1344.20000","","","","18917.07000","","-5.67306"
"Denmark","1931.00000","1283.40000","","","","19127.13000","","-3.26076"
"Denmark","1932.00000","1251.20000","","","","18625.32000","","0.67360"
"Denmark","1933.00000","1250.70000","","","","19220.49000","","5.02150"
"Denmark","1934.00000","1333.80000","","","","19803.99000","","4.04003"
"Denmark","1935.00000","1290.90000","","","","20247.45000","","2.45187"
"Denmark","1936.00000","1270.00000","","","","20749.26000","","1.39464"
"Denmark","1937.00000","1279.20000","","","","21251.07000","","4.71938"
"Denmark","1938.00000","1247.50000","","","","21764.55000","","-0.46966"
"Denmark","1939.00000","1243.50000","","","","22803.18000","","10.94454"
"Denmark","1940.00000","1260.50000","","","","19605.60000","","27.72034"
"Denmark","1941.00000","1218.90000","","","","17668.38000","","7.52304"
"Denmark","1942.00000","1090.90000","","","","18065.16000","","2.78741"
"Denmark","1943.00000","1234.00000","","","","20060.73000","","0.00000"
"Denmark","1944.00000","1250.90000","","","","22161.33000","","1.20381"
"Denmark","1945.00000","1483.60000","","","","20492.52000","","0.63250"
"Denmark","1946.00000","1476.40000","","","","23690.10000","","1.88698"
"Denmark","1947.00000","11601.20000","","","","25020.48000","","3.08649"
"Denmark","1948.00000","10060.00000","","","","25697.34000","","1.79658"
"Denmark","1949.00000","9630.00000","","","","27471.18000","","0.00000"
"Denmark","1950.00000","9994.40000","3.40000","","21568.00000","29654.00000","","8.82437"
"Denmark","1951.00000","9505.90000","3.70000","","23137.00000","29852.00000","","10.64426"
