"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2"
"Japan","1872.0000","27.8800","","","","","",""
"Japan","1873.0000","40.6400","","","","","",""
"Japan","1874.0000","46.9190","","","","","",""
"Japan","1875.0000","55.8100","","","","","",""
"Japan","1876.0000","53.9270","","","","","",""
"Japan","1877.0000","238.1900","","","","","",""
"Japan","1878.0000","252.3640","","","","","",""
"Japan","1879.0000","250.1980","","","","","",""
"Japan","1880.0000","249.3380","","","","","",""
"Japan","1881.0000","246.1270","","","","","",""
"Japan","1882.0000","240.5110","","","","","",""
"Japan","1883.0000","227.6620","","","","","",""
"Japan","1884.0000","241.8610","","","","","",""
"Japan","1885.0000","246.6510","865.4000","","3771.0000","","22.9488",""
"Japan","1886.0000","249.8120","865.7000","","4032.0000","","21.4707",""
"Japan","1887.0000","255.9560","873.9000","","4222.0000","","20.6987",""
"Japan","1888.0000","257.0700","860.8000","","4027.0000","","21.3757",""
"Japan","1889.0000","260.0530","938.1000","","4247.0000","","22.0885",""
"Japan","1890.0000","275.2360","1173.3000","","4634.0000","","25.3194",""
"Japan","1891.0000","274.6260","1081.2000","","4415.0000","","24.4892",""
"Japan","1892.0000","277.8940","1148.6000","","4710.0000","","24.3864",""
"Japan","1893.0000","267.8140","1168.3000","","4730.0000","","24.6998",""
"Japan","1894.0000","326.1280","1389.3000","","5301.0000","","26.2083",""
"Japan","1895.0000","409.6590","1525.3000","","5378.0000","","28.3618",""
"Japan","1896.0000","410.3350","1587.1000","","5078.0000","","31.2544",""
"Japan","1897.0000","421.2450","1910.0000","","5179.0000","","36.8797",""
"Japan","1898.0000","413.2530","2431.8000","","6182.0000","","39.3368",""
"Japan","1899.0000","506.1670","2195.2000","","5721.0000","","38.3709",""
"Japan","1900.0000","518.7640","2492.8000","","5967.0000","","41.7764",""
"Japan","1901.0000","568.5260","2519.6000","","6177.0000","","40.7900",""
"Japan","1902.0000","584.6200","2456.4000","","5851.0000","","41.9826",""
"Japan","1903.0000","617.3110","2809.7000","","6269.0000","","44.8190",""
"Japan","1904.0000","1078.7960","2940.7000","","6321.0000","","46.5227",""
"Japan","1905.0000","2113.5860","3058.7000","","6214.0000","","49.2227",""
"Japan","1906.0000","2327.0630","3563.8000","","7043.0000","","50.6006",""
"Japan","1907.0000","2305.0400","3990.6000","","7268.0000","","54.9064",""
"Japan","1908.0000","2292.8110","4033.8000","","7317.0000","","55.1292",""
"Japan","1909.0000","2651.2390","3933.9000","","7303.0000","","53.8669",""
"Japan","1910.0000","2780.3410","3964.0000","","7427.0000","","53.3728",""
"Japan","1911.0000","2742.1400","4594.0000","","7834.0000","","58.6418",""
"Japan","1912.0000","2750.6680","5085.0000","","8126.0000","","62.5769",""
"Japan","1913.0000","2686.5140","5293.0000","","8243.0000","","64.2121",""
"Japan","1914.0000","2649.7190","4848.0000","","7991.0000","","60.6683",""
"Japan","1915.0000","2657.6810","5114.0000","","8754.0000","","58.4190",""
"Japan","1916.0000","2662.6750","6576.0000","","10125.0000","","64.9481",""
"Japan","1917.0000","2872.5910","8730.0000","","10484.0000","","83.2697",""
"Japan","1918.0000","3255.2280","11582.0000","","10588.0000","","109.3880",""
"Japan","1919.0000","3489.7430","15659.0000","","11679.0000","","134.0783",""
"Japan","1920.0000","4066.4200","15471.0000","","10936.0000","","141.4685",""
"Japan","1921.0000","4330.6710","15188.0000","","12178.0000","","124.7167",""
"Japan","1922.0000","4601.8910","15483.0000","","12120.0000","","127.7475",""
"Japan","1923.0000","5049.8350","15727.0000","","12122.0000","","129.7393",""
"Japan","1924.0000","5163.2110","16531.0000","","12463.0000","","132.6406",""
"Japan","1925.0000","5428.8380","17163.0000","","12986.0000","","132.1654",""
"Japan","1926.0000","5627.5020","16657.0000","","13108.0000","","127.0751",""
"Japan","1927.0000","5985.6990","16145.0000","","13308.0000","","121.3180",""
"Japan","1928.0000","6447.5540","16969.0000","","14343.0000","","118.3086",""
"Japan","1929.0000","6576.2070","17193.0000","","14852.0000","","115.7622",""
"Japan","1930.0000","6842.7790","14454.0000","","13764.0000","","105.0131",""
"Japan","1931.0000","7053.2680","12986.0000","","13878.0000","","93.5726",""
"Japan","1932.0000","7911.0090","14259.0000","","15038.0000","","94.8198",""
"Japan","1933.0000","8916.5740","16161.0000","","16449.0000","","98.2491",""
"Japan","1934.0000","9779.8030","16978.0000","","16571.0000","","102.4561",""
"Japan","1935.0000","10525.0720","18104.0000","","17032.0000","","106.2940",""
"Japan","1936.0000","11302.3860","19902.0000","","18284.0000","","108.8493",""
"Japan","1937.0000","13355.2750","23318.0000","","19180.0000","","121.5746",""
"Japan","1938.0000","17921.4640","27226.0000","","20459.0000","","133.0759",""
"Japan","1939.0000","23565.7670","33817.0000","","23717.0000","","142.5855",""
"Japan","1940.0000","31002.7480","39513.0000","","24417.0000","","161.8258",""
"Japan","1941.0000","41786.3680","","","","","",""
"Japan","1942.0000","57152.1010","","","","","",""
"Japan","1943.0000","85114.9620","","","","","",""
"Japan","1944.0000","151951.5230","","","","","",""
"Japan","1945.0000","199454.3280","","","","","",""
"Japan","1946.0000","265341.0000","","","","","",""
"Japan","1947.0000","360628.0000","","","","","",""
"Japan","1948.0000","524409.0000","","","","","",""
"Japan","1949.0000","637286.0000","","","","","",""
"Japan","1950.0000","554008.0000","","","","","",""
"Japan","1951.0000","645463.0000","","","","","",""
"Japan","1952.0000","826679.0000","","6217000.0000","","","",""
"Japan","1953.0000","851135.0000","","7016000.0000","","","",""
"Japan","1954.0000","932738.0000","","7797000.0000","","","",""
"Japan","1955.0000","1057212.0000","8371300.0000","8369500.0000","52271000.0000","","16.0152",""
"Japan","1956.0000","1000249.0000","9443300.0000","9422200.0000","55512600.0000","","17.0111",""
"Japan","1957.0000","970280.0000","10861300.0000","10858300.0000","59580700.0000","","18.2296",""
"Japan","1958.0000","1075466.0000","11451000.0000","11538300.0000","63391100.0000","","18.0641",""
"Japan","1959.0000","1252971.0000","13088100.0000","13190300.0000","68679800.0000","","19.0567",""
"Japan","1960.0000","1340283.0000","15942100.0000","16009700.0000","76414600.0000","","20.8626",""
"Japan","1961.0000","1222946.0000","19325800.0000","19336500.0000","84054300.0000","","22.9920",""
"Japan","1962.0000","1280665.0000","21767600.0000","21942700.0000","89699600.0000","","24.2672",""
"Japan","1963.0000","1184565.0000","25131000.0000","25113200.0000","96618800.0000","","26.0105",""
"Japan","1964.0000","1349212.0000","29331900.0000","29541300.0000","105541000.0000","","27.7919",""
"Japan","1965.0000","1766563.0000","32687600.0000","32866000.0000","110946700.0000","","29.4624",""
"Japan","1966.0000","2662274.0000","37917300.0000","38170000.0000","121710500.0000","","31.1537",""
"Japan","1967.0000","3818407.0000","44743900.0000","44730500.0000","134446800.0000","","33.2800",""
"Japan","1968.0000","4785834.0000","52745800.0000","52974900.0000","148601100.0000","","35.4949",""
"Japan","1969.0000","5479362.0000","61971900.0000","62228900.0000","166111100.0000","","37.3075",""
"Japan","1970.0000","6226347.0000","73436000.0000","73344900.0000","182944300.0000","","40.1412",""
"Japan","1971.0000","7605627.0000","80473200.0000","80701300.0000","191599900.0000","","42.0006",""
"Japan","1972.0000","11704291.0000","92844700.0000","92394400.0000","208064300.0000","","44.6231",""
"Japan","1973.0000","13154492.0000","113807300.0000","112498000.0000","225120800.0000","","50.5539",""
"Japan","1974.0000","15709423.0000","134205100.0000","134244000.0000","221534500.0000","","60.5798",""
"Japan","1975.0000","22795207.0000","147737600.0000","148327000.0000","227821800.0000","","64.8479",""
"Japan","1976.0000","32677954.0000","166669800.0000","166573000.0000","236935200.0000","","70.3440",""
"Japan","1977.0000","46097860.0000","184920400.0000","185622000.0000","245440000.0000","","75.3424",""
"Japan","1978.0000","62339876.0000","203698500.0000","204404000.0000","255804800.0000","","79.6304",""
"Japan","1979.0000","77553952.0000","221332100.0000","221547000.0000","273211500.0000","","81.0113",""
"Japan","1980.0000","95011898.0000","239950600.0000","243235000.0000","285851900.0000","284375000.0000","83.9423","85.5332"
"Japan","1981.0000","106832094.0000","257590400.0000","261028000.0000","296817600.0000","296252900.0000","86.7841","88.1099"
"Japan","1982.0000","121339078.0000","270497000.0000","274050000.0000","305387800.0000","306256200.0000","88.5749","89.4839"
"Japan","1983.0000","137244038.0000","281678600.0000","285579000.0000","312949300.0000","315629900.0000","90.0077","90.4791"
"Japan","1984.0000","150139544.0000","300429300.0000","304859000.0000","325979400.0000","329719300.0000","92.1621","92.4602"
"Japan","1985.0000","163571000.0000","320257800.0000","325792000.0000","342399800.0000","350601600.0000","93.5333","92.9237"
"Japan","1986.0000","184689000.0000","335118900.0000","340948000.0000","350590100.0000","360527400.0000","95.5871","94.5692"
"Japan","1987.0000","198612000.0000","350790000.0000","355837000.0000","366230100.0000","375335800.0000","95.7840","94.8050"
"Japan","1988.0000","206206000.0000","375116100.0000","381579000.0000","388574700.0000","402159900.0000","96.5364","94.8824"
"Japan","1989.0000","208033000.0000","400848900.0000","409602000.0000","408710800.0000","423756500.0000","98.0764","96.6598"
"Japan","1990.0000","216674000.0000","429860400.0000","440125000.0000","429860400.0000","447369900.0000","100.0000","98.3806"
"Japan","1991.0000","224591000.0000","458702000.0000","468234000.0000","447278900.0000","462242000.0000","102.5539","101.2963"
"Japan","1992.0000","239351000.0000","471213100.0000","480492000.0000","452308900.0000","466027900.0000","104.1795","103.1037"
"Japan","1993.0000","267879000.0000","475021400.0000","484234000.0000","452313500.0000","466825100.0000","105.0204","103.7292"
"Japan","1994.0000","291721000.0000","478717500.0000","486552000.0000","456350700.0000","470856500.0000","104.9012","103.3334"
"Japan","1995.0000","326353000.0000","483596900.0000","493588000.0000","465036500.0000","479716400.0000","103.9912","102.8916"
"Japan","1996.0000","355169000.0000","501282300.0000","504262000.0000","487374300.0000","492367900.0000","102.8537","102.4157"
"Japan","1997.0000","388146000.0000","508000500.0000","515249000.0000","494032000.0000","500066400.0000","102.8274","103.0361"
