"Country","Year","Debt","GDP","RGDP"
"US","1790.000000000","0.075463477","0.190000000","4.030000000"
"US","1791.000000000","0.077227925","0.200000000","4.270000000"
"US","1792.000000000","0.080358634","0.220000000","4.580000000"
"US","1793.000000000","0.078427405","0.250000000","4.950000000"
"US","1794.000000000","0.080747587","0.310000000","5.600000000"
"US","1795.000000000","0.083762172","0.380000000","5.960000000"
"US","1796.000000000","0.082064479","0.410000000","6.150000000"
"US","1797.000000000","0.079228529","0.410000000","6.270000000"
"US","1798.000000000","0.078408670","0.410000000","6.540000000"
"US","1799.000000000","0.082976294","0.440000000","7.000000000"
"US","1800.000000000","0.083038051","0.480000000","7.400000000"
"US","1801.000000000","0.080712632","0.510000000","7.760000000"
"US","1802.000000000","0.077054686","0.450000000","8.000000000"
"US","1803.000000000","0.086427121","0.480000000","8.140000000"
"US","1804.000000000","0.082312151","0.530000000","8.450000000"
"US","1805.000000000","0.075723271","0.560000000","8.900000000"
"US","1806.000000000","0.069218399","0.610000000","9.320000000"
"US","1807.000000000","0.065196318","0.580000000","9.330000000"
"US","1808.000000000","0.057023192","0.640000000","9.350000000"
"US","1809.000000000","0.053173218","0.680000000","10.070000000"
"US","1810.000000000","0.048005588","0.700000000","10.630000000"
"US","1811.000000000","0.045209738","0.760000000","11.110000000"
"US","1812.000000000","0.055962828","0.780000000","11.550000000"
"US","1813.000000000","0.081487846","0.960000000","12.210000000"
"US","1814.000000000","0.099833660","1.070000000","12.720000000"
"US","1815.000000000","0.127334934","0.920000000","12.820000000"
"US","1816.000000000","0.123491965","0.810000000","12.820000000"
"US","1817.000000000","0.103466634","0.760000000","13.120000000"
"US","1818.000000000","0.095529648","0.730000000","13.600000000"
"US","1819.000000000","0.091015566","0.720000000","13.860000000"
"US","1820.000000000","0.089987428","0.700000000","14.410000000"
"US","1821.000000000","0.093546677","0.730000000","15.180000000"
"US","1822.000000000","0.090875877","0.800000000","15.760000000"
"US","1823.000000000","0.090269778","0.750000000","16.330000000"
"US","1824.000000000","0.083788433","0.750000000","17.300000000"
"US","1825.000000000","0.081054060","0.810000000","18.070000000"
"US","1826.000000000","0.073987357","0.860000000","18.710000000"
"US","1827.000000000","0.067475044","0.910000000","19.290000000"
"US","1828.000000000","0.058421414","0.890000000","19.550000000"
"US","1829.000000000","0.048565407","0.920000000","20.300000000"
"US","1830.000000000","0.039123192","1.010000000","22.160000000"
"US","1831.000000000","0.024322235","1.040000000","23.990000000"
"US","1832.000000000","0.007001699","1.120000000","25.610000000"
"US","1833.000000000","0.004760082","1.150000000","26.400000000"
"US","1834.000000000","0.000033733","1.210000000","26.850000000"
"US","1835.000000000","0.000037513","1.330000000","28.270000000"
"US","1836.000000000","0.000336958","1.460000000","29.110000000"
"US","1837.000000000","0.003308124","1.540000000","29.370000000"
"US","1838.000000000","0.010434221","1.580000000","30.590000000"
"US","1839.000000000","0.003573344","1.650000000","31.370000000"
"US","1840.000000000","0.005250876","1.560000000","31.460000000"
"US","1841.000000000","0.013594481","1.640000000","32.170000000"
"US","1842.000000000","0.020201226","1.600000000","33.190000000"
"US","1843.000000000","0.032742922","1.550000000","34.840000000"
"US","1844.000000000","0.023461653","1.690000000","36.820000000"
"US","1845.000000000","0.015925303","1.840000000","39.150000000"
"US","1846.000000000","0.015550203","2.040000000","42.330000000"
"US","1847.000000000","0.038826535","2.390000000","45.210000000"
"US","1848.000000000","0.047044862","2.400000000","46.730000000"
"US","1849.000000000","0.063061859","2.400000000","47.380000000"
"US","1850.000000000","0.063452774","2.560000000","49.590000000"
"US","1851.000000000","0.068304796","2.700000000","53.580000000"
"US","1852.000000000","0.066199342","3.040000000","59.760000000"
"US","1853.000000000","0.059803118","3.280000000","64.650000000"
"US","1854.000000000","0.042242222","3.680000000","66.880000000"
"US","1855.000000000","0.035586957","3.940000000","69.670000000"
"US","1856.000000000","0.031972538","4.010000000","72.470000000"
"US","1857.000000000","0.028699832","4.140000000","72.840000000"
"US","1858.000000000","0.044911881","4.050000000","75.790000000"
"US","1859.000000000","0.058496838","4.380000000","81.280000000"
"US","1860.000000000","0.064842288","4.350000000","82.110000000"
"US","1861.000000000","0.090580874","4.600000000","83.570000000"
"US","1862.000000000","0.524176412","5.790000000","93.950000000"
"US","1863.000000000","1.119772139","7.620000000","101.180000000"
"US","1864.000000000","1.815784371","9.460000000","102.330000000"
